Date,ratios
2016-03-08,110.43589642312165
2016-03-09,111.18923316274956
2016-03-10,109.76398419928233
2016-03-11,113.34642658950015
2016-03-14,113.68284898407401
2016-03-15,113.18623189720707
2016-03-16,113.69063398150256
2016-03-17,113.65363891991113
2016-03-18,114.6772384906178
2016-03-21,114.87816838472493
2016-03-22,115.000467170397
2016-03-23,114.99984850218205
2016-03-24,113.50652430757522
2016-03-28,113.43866593031609
2016-03-29,115.19945201824667
2016-03-30,117.18168469537386
2016-03-31,115.40074991443859
2016-04-01,114.67038078377904
2016-04-04,114.81978159067897
2016-04-05,112.06008596619282
2016-04-06,113.24087324868154
2016-04-07,111.58823195921713
2016-04-08,112.90977503709689
2016-04-11,113.01555497260318
2016-04-12,114.10321900194018
2016-04-13,116.79090514795513
2016-04-14,117.41364455895591
2016-04-15,117.02681557526866
2016-04-18,118.0658467627323
2016-04-19,119.76323163058304
2016-04-20,120.28372435329555
2016-04-21,119.36919281124183
2016-04-22,118.77596306424451
2016-04-25,118.52314400125682
2016-04-26,118.3064879076257
2016-04-27,118.85528236990196
2016-04-28,118.22123643638913
2016-04-29,115.15575041751883
2016-05-02,116.33783915343503
2016-05-03,114.2967621627425
2016-05-04,112.72906063039417
2016-05-05,112.95522076545384
2016-05-06,112.83121697257587
2016-05-09,113.79511028700682
2016-05-10,115.35367464613803
2016-05-11,113.81615250300237
2016-05-12,113.36896865634557
2016-05-13,113.58995508194634
2016-05-16,113.92186297828694
2016-05-17,112.69408755067408
2016-05-18,113.20589196113795
2016-05-19,111.98019378845675
2016-05-20,114.02229295788035
2016-05-23,113.29882040708381
2016-05-24,116.44530844904962
2016-05-25,118.13305885342648
2016-05-26,118.54768824375316
2016-05-27,119.33068272980519
2016-05-30,119.6663126787319
2016-05-31,119.31642414256132
2016-06-01,118.51895072914073
2016-06-02,119.09262248910247
2016-06-03,117.9070564601756
2016-06-06,118.14446489722681
2016-06-07,119.55230038328821
2016-06-08,119.4808910872693
2016-06-09,118.41274400413174
2016-06-10,115.59819370736528
2016-06-13,113.07803021777607
2016-06-14,110.71393008665234
2016-06-15,111.37897989956647
2016-06-16,111.17019215903113
2016-06-17,111.61965796086102
2016-06-20,115.22338684244062
2016-06-21,116.01771058193266
2016-06-22,116.03095459167693
2016-06-23,118.32569722632147
2016-06-24,107.87152612271933
2016-06-27,105.46874325151464
2016-06-28,108.5243444508132
2016-06-29,112.73320397695016
2016-06-30,115.02829499721145
2016-07-01,116.03938851065672
2016-07-04,115.49514374928785
2016-07-05,113.67807058748927
2016-07-06,112.26909191399521
2016-07-07,113.06203881510433
2016-07-08,115.54003805154181
2016-07-11,117.62088034469659
2016-07-12,118.96503918666055
2016-07-13,119.07997689577303
2016-07-14,120.21537446705624
2016-07-15,119.94190749045794
2016-07-18,119.80472374822497
2016-07-19,119.37341637955622
2016-07-20,120.82340372945661
2016-07-21,120.25192213283476
2016-07-22,120.79288065605664
2016-07-25,121.47972892483897
2016-07-26,121.78165782203205
2016-07-27,122.42505192816711
2016-07-28,121.41018644286082
2016-07-29,121.63820184638692
2016-08-01,121.30585741585017
2016-08-02,119.27380723905868
2016-08-03,118.90476083838844
2016-08-04,119.57228641029906
2016-08-05,121.78253258379976
2016-08-08,121.4569793176525
2016-08-09,122.90251113625621
2016-08-10,122.40868627091479
2016-08-11,124.1230937531026
2016-08-12,124.04944505222552
2016-08-15,124.2003956606568
2016-08-16,122.47320458310678
2016-08-17,120.99048126548696
2016-08-18,121.60137449486372
2016-08-19,120.88491843632188
2016-08-22,120.74778447114333
2016-08-23,121.84752892847399
2016-08-24,121.9002675140239
2016-08-25,120.86918670837787
2016-08-26,121.4252841192874
2016-08-29,121.39002009362481
2016-08-30,121.77290290988034
2016-08-31,120.97967270625486
2016-09-01,121.02300015904737
2016-09-02,123.67640668633469
2016-09-05,123.89479275885525
2016-09-06,124.12199891832083
2016-09-07,124.71507254179444
2016-09-08,123.69126022897942
2016-09-09,120.73302845881493
2016-09-12,120.41234878883387
2016-09-13,118.74983157276019
2016-09-14,118.51309493507394
2016-09-15,119.65742173021603
2016-09-16,118.89752738167051
2016-09-19,119.95791502319382
2016-09-20,120.01366336388674
2016-09-21,120.74316232050364
2016-09-22,123.85880384138827
2016-09-23,122.80466847752089
2016-09-26,120.61699307587756
2016-09-27,121.44366967354868
2016-09-28,122.45280112031183
2016-09-29,121.42905827142744
2016-09-30,122.52190743944357
2016-10-03,121.9576281180669
2016-10-04,122.54220570791298
2016-10-05,121.78299230723682
2016-10-06,121.06882452031242
2016-10-07,119.47824894303336
2016-10-10,120.65921474160228
2016-10-11,119.52767943390565
2016-10-12,118.8912810771498
2016-10-13,118.0148122435608
2016-10-14,120.01570678609573
2016-10-17,119.21780522313605
2016-10-18,120.98613649477754
2016-10-19,120.9781570096544
2016-10-20,121.16057460610351
2016-10-21,121.00138514894387
2016-10-24,121.63700103994766
2016-10-25,121.0793117536257
2016-10-26,120.75479534036299
2016-10-27,120.54474905003286
2016-10-28,120.43346654100509
2016-10-31,119.41656890381539
2016-11-01,117.6796741039574
2016-11-02,115.90745647154009
2016-11-03,114.91887253240431
2016-11-04,114.19209427717055
2016-11-07,117.00391443006549
2016-11-08,117.80222265183399
2016-11-09,119.32441805796711
2016-11-10,117.56951536199092
2016-11-11,116.9890301723065
2016-11-14,116.40916800254404
2016-11-15,117.00797631413937
2016-11-16,116.45974346296566
2016-11-17,117.37078703931122
2016-11-18,116.41029140610772
2016-11-21,117.10406211454354
2016-11-22,117.79549955750352
2016-11-23,117.82080725607209
2016-11-24,118.19964956915092
2016-11-25,119.3368925361318
2016-11-28,118.65501964054677
2016-11-29,119.31752921353727
2016-11-30,118.7002234473594
2016-12-01,117.06201849289182
2016-12-02,116.83732529944936
2016-12-05,117.26298547929743
2016-12-06,118.94576663761966
2016-12-07,120.61023767651446
2016-12-08,121.51149535084406
2016-12-09,123.42463260350134
2016-12-12,123.88357813015845
2016-12-13,126.59760484937404
2016-12-14,125.55040965660953
2016-12-15,126.81565968468041
2016-12-16,127.41726210033542
2016-12-19,128.12687548572092
2016-12-20,128.9488552368656
2016-12-21,128.42107703801113
2016-12-22,128.14830553105818
2016-12-23,128.65724544397986
2016-12-27,129.20730191165853
2016-12-28,128.54956602477156
2016-12-29,128.54445458105286
2016-12-30,128.54764410082922
2017-01-02,129.42277013284772
2017-01-03,129.6322547712371
2017-01-04,129.4658447044486
2017-01-05,129.65064966216664
2017-01-06,129.6529267735959
2017-01-09,129.32339916578147
2017-01-10,128.96703089773175
2017-01-11,129.5171198108949
2017-01-12,128.74022894665535
2017-01-13,129.95220390867024
2017-01-16,129.09472854489522
2017-01-17,129.12148841859863
2017-01-18,129.1588321997718
2017-01-19,128.42454260820526
2017-01-20,128.74270145840717
2017-01-23,128.1006007243731
2017-01-24,128.15301625383663
2017-01-25,129.05762572480143
2017-01-26,128.86474622942723
2017-01-27,128.7918087231449
2017-01-30,127.22914845735426
2017-01-31,126.43698716076621
2017-02-01,126.60091831917946
2017-02-02,127.41934258933475
2017-02-03,128.21040409396227
2017-02-06,127.02271497908927
2017-02-07,127.41684180971308
2017-02-08,128.4838907008755
2017-02-09,130.22182862832983
2017-02-10,130.24356114045113
2017-02-13,131.83179191407638
2017-02-14,131.826120000232
2017-02-15,132.8647896583215
2017-02-16,132.9357062249549
2017-02-17,132.81715560467927
2017-02-20,132.98678983634335
2017-02-21,133.86970792383252
2017-02-22,133.79246526729605
2017-02-23,134.03926803787238
2017-02-24,133.55180087823425
2017-02-27,133.5546891619603
2017-02-28,133.59285217865119
2017-03-01,136.228712435795
2017-03-02,136.01323527448133
2017-03-03,136.02386356042402
2017-03-06,135.61919178163174
2017-03-07,134.93297185417222
2017-03-08,134.5651412628782
2017-03-09,134.90110404083845
2017-03-10,135.15808879973483
2017-03-13,135.0312449560246
2017-03-14,134.6443367276163
2017-03-15,135.4339329695985
2017-03-16,136.5236137411554
2017-03-17,137.41315535542017
2017-03-20,137.49230166409174
2017-03-21,136.30906883553035
2017-03-22,136.30480378057607
2017-03-23,137.29495833737744
2017-03-24,137.4498113103823
2017-03-27,137.5771160395756
2017-03-28,138.64153579012512
2017-03-29,138.853128227827
2017-03-30,139.57272268455628
2017-03-31,140.19824684277856
2017-04-03,139.72669441032107
2017-04-04,139.89306502131734
2017-04-05,139.77649707219092
2017-04-06,140.44387602599946
2017-04-07,140.72792881561185
2017-04-10,140.4106686494258
2017-04-11,140.0999780295011
2017-04-12,140.45621098784716
2017-04-13,139.67699507181865
2017-04-17,140.2731382454543
2017-04-18,138.92230191363885
2017-04-19,138.54783538088066
2017-04-20,139.0393059417359
2017-04-21,138.4765573432719
2017-04-24,143.57416718029887
2017-04-25,144.25245114422066
2017-04-26,144.2542042906531
2017-04-27,144.56487863500038
2017-04-28,144.0029060089883
2017-05-01,144.00333751189282
2017-05-02,145.45282424665626
2017-05-03,145.71617911520485
2017-05-04,147.91641928132583
2017-05-05,148.86986895070845
2017-05-08,148.48837417147635
2017-05-09,148.48367702459774
2017-05-10,148.01715207562685
2017-05-11,146.3354704541017
2017-05-12,147.55135059389482
2017-05-15,147.62783233701322
2017-05-16,147.7182382254154
2017-05-17,144.49405721186585
2017-05-18,143.96641551899285
2017-05-19,145.58719482205024
2017-05-22,145.8663242622754
2017-05-23,146.87602993088132
2017-05-24,146.69346077498008
2017-05-25,147.84978492171732
2017-05-26,147.7974865510953
2017-05-29,147.61878105232546
2017-05-30,147.53217806025665
2017-05-31,148.06923145476736
2017-06-01,148.98090923878314
2017-06-02,149.9497109159773
2017-06-05,149.36612307868893
2017-06-06,148.73424654731025
2017-06-07,148.54010909059977
2017-06-08,147.96626534436245
2017-06-09,148.45111392506485
2017-06-12,146.86011344014128
2017-06-13,147.59953549663447
2017-06-14,147.88260191374178
2017-06-15,146.66553805936627
2017-06-16,147.89383886401546
2017-06-19,149.72447235629585
2017-06-20,149.0113885709577
2017-06-21,149.05783881101246
2017-06-22,148.84922917802353
2017-06-23,148.37281212247163
2017-06-26,149.41475894546488
2017-06-27,146.45946420029532
2017-06-28,146.40542789033472
2017-06-29,141.84598143406274
2017-06-30,141.9498042801895
2017-07-03,142.93087218227228
2017-07-04,142.1674355287882
2017-07-05,141.93471874995575
2017-07-06,139.50259736109024
2017-07-07,140.11964065133023
2017-07-10,140.6141132389416
2017-07-11,139.68652080626842
2017-07-12,142.69907209077303
2017-07-13,143.25565815393534
2017-07-14,143.98316015171645
2017-07-17,143.98789016357384
2017-07-18,142.9083426542976
2017-07-19,144.81545306963667
2017-07-20,144.4052549258327
2017-07-21,142.1767011002748
2017-07-24,141.3790178664852
2017-07-25,142.24543986336272
2017-07-26,142.19301833015803
2017-07-27,143.27324473488335
2017-07-28,141.69433858801673
2017-07-31,141.43434612611145
2017-08-01,142.88077319632364
2017-08-02,142.20862447096394
2017-08-03,143.1401585866051
2017-08-04,145.1517988503421
2017-08-07,145.07118217003477
2017-08-08,145.48165971549722
2017-08-09,144.23413867265776
2017-08-10,142.1912306881181
2017-08-11,141.05326086774966
2017-08-14,143.97746174067083
2017-08-15,144.07731056469382
2017-08-16,145.32516870201633
2017-08-17,143.80776145907606
2017-08-18,141.973822673061
2017-08-21,141.90423602899486
2017-08-22,143.68298413793102
2017-08-23,142.5538977024341
2017-08-24,142.63691371347832
2017-08-25,142.69845976524815
2017-08-28,141.8364757651705
2017-08-29,140.45238521542714
2017-08-30,141.1544446587189
2017-08-31,142.42111105926801
2017-09-01,143.0996516543064
2017-09-04,142.50355525257925
2017-09-05,142.38921579428143
2017-09-06,142.96700176893032
2017-09-07,143.5838038839929
2017-09-08,143.11013695593928
2017-09-11,145.90124061566732
2017-09-12,146.3907946312942
2017-09-13,146.47284315603693
2017-09-14,145.9251001747315
2017-09-15,145.77730866274825
2017-09-18,146.04164902031752
2017-09-19,146.70894554204096
2017-09-20,145.80323268862003
2017-09-21,144.9517994659542
2017-09-22,144.98902130292316
2017-09-25,145.21075814043897
2017-09-26,145.12700688816156
2017-09-27,145.19583992773434
2017-09-28,145.27886328222172
2017-09-29,146.49946143459533
2017-10-02,146.62595293418923
2017-10-03,146.80439247549322
2017-10-04,145.78995718524675
2017-10-05,147.34421769706194
2017-10-06,146.57225757057805
2017-10-09,147.42589540953364
2017-10-10,147.3967601917989
2017-10-11,148.49071189978434
2017-10-12,148.26905576937207
2017-10-13,148.75592844548348
2017-10-16,148.80597943867818
2017-10-17,149.5737004328909
2017-10-18,150.55408096545503
2017-10-19,150.20675090823963
2017-10-20,150.28914922925256
2017-10-23,150.42439421906164
2017-10-24,149.82353116384868
2017-10-25,149.16289682647195
2017-10-26,152.04141771940365
2017-10-27,152.78952678200787
2017-10-30,153.0907780670878
2017-10-31,154.5860616823447
2017-11-01,155.19134944419247
2017-11-02,154.101767744434
2017-11-03,154.90838533819823
2017-11-06,154.30928286353705
2017-11-07,153.07391592787545
2017-11-08,152.92598179389054
2017-11-09,150.88630303519017
2017-11-10,149.71645303931786
2017-11-13,149.0816182157899
2017-11-14,148.81077110284713
2017-11-15,147.63527368148746
2017-11-16,149.90635157768054
2017-11-17,148.6645533327372
2017-11-20,149.48460175755838
