Date,Momentum
2015-06-10,115.9667790971508
2015-06-11,116.69756778569342
2015-06-12,114.94338598766319
2015-06-15,113.26904440054267
2015-06-16,114.34550090798022
2015-06-17,113.86515277721428
2015-06-18,115.32053347717256
2015-06-19,114.97061535231336
2015-06-22,118.10747599697623
2015-06-23,118.74100909327842
2015-06-24,117.96072086191587
2015-06-25,118.01818805127044
2015-06-26,118.56336388746358
2015-06-29,114.01611477148586
2015-06-30,112.95320782585988
2015-07-01,114.54750623287401
2015-07-02,114.05088487947953
2015-07-03,113.51642633396952
2015-07-06,111.95637512318213
2015-07-07,110.89101147320291
2015-07-08,110.7978005050873
2015-07-09,112.95344293905626
2015-07-10,116.1439411002377
2015-07-13,118.29754301674967
2015-07-14,119.02265368225338
2015-07-15,119.6725983480645
2015-07-16,120.52643905292959
2015-07-17,120.26205993097936
2015-07-20,121.19799313109998
2015-07-21,119.94881559942858
2015-07-22,119.20166701523503
2015-07-23,118.79371243271379
2015-07-24,118.09408023877675
2015-07-27,116.23196845753642
2015-07-28,118.19912943296166
2015-07-29,119.5480836270351
2015-07-30,120.34236150971086
2015-07-31,121.22148917343807
2015-08-03,122.04983756646324
2015-08-04,121.74515078125212
2015-08-05,122.78350241037322
2015-08-06,121.43482559286188
2015-08-07,120.83964916879584
2015-08-10,122.65437298197266
2015-08-11,119.92132931012942
2015-08-12,117.37356817197283
2015-08-13,118.58568557656339
2015-08-14,118.33592984007781
2015-08-17,119.0703356907324
2015-08-18,118.93284116060406
2015-08-19,116.88129572901695
2015-08-20,113.44643732089035
2015-08-21,108.63966291271223
2015-08-24,102.68479181061664
2015-08-25,104.75401032335094
2015-08-26,106.38804848385789
2015-08-27,110.66429568392394
2015-08-28,110.78389400571794
2015-08-31,109.89350100955527
2015-09-01,106.4366888857177
2015-09-02,108.2184292017837
2015-09-03,109.90464027993006
2015-09-04,107.0972958064204
2015-09-07,107.6078525717162
2015-09-08,110.04022034929973
2015-09-09,109.84439284911541
2015-09-10,109.46486100402227
2015-09-11,109.58071520203858
2015-09-14,109.05773941463485
2015-09-15,110.80941430956234
2015-09-16,112.32045926830185
2015-09-17,112.10600018109005
2015-09-18,109.50903025634591
2015-09-21,110.98431928677977
2015-09-22,108.0151916031328
