Date,Size
2016-01-28,91.76632898073473
2016-01-29,93.15343694526914
2016-02-01,92.79283591959434
2016-02-02,91.4161050612945
2016-02-03,90.94626313307053
2016-02-04,91.27250262316005
2016-02-05,90.39716517966681
2016-02-08,89.23172390775319
2016-02-09,90.04317631032177
2016-02-10,90.08574465154443
2016-02-11,89.15217210723935
2016-02-12,92.04123849371129
2016-02-15,92.792740502621
2016-02-16,93.01165831849706
2016-02-17,94.83200984728937
2016-02-18,93.26735198632402
2016-02-19,93.02834852265427
2016-02-22,93.26958697286733
2016-02-23,92.32861159092093
2016-02-24,91.48838810866523
2016-02-25,93.09149653246608
2016-02-26,93.33228732774263
2016-02-29,93.21422099856862
2016-03-01,93.57708190596018
2016-03-02,92.79701163389271
2016-03-03,91.66456934079675
2016-03-04,91.93747595740952
