Date,Recommendation
2015-09-03,103.85972805905932
2015-09-04,103.87919408987439
2015-09-07,104.0474865270343
2015-09-08,106.44336266464596
2015-09-09,104.8763127018116
2015-09-10,106.16776403099439
2015-09-11,105.99841375872869
2015-09-14,105.87908056910285
2015-09-15,106.45847167860596
2015-09-16,106.14606953879998
2015-09-17,105.57114306612915
2015-09-18,105.36841375187524
2015-09-21,104.19581841516575
2015-09-22,103.04771568770347
2015-09-23,103.31076135389068
2015-09-24,103.93687374938122
2015-09-25,101.3784687959677
2015-09-28,98.61755516087793
2015-09-29,98.06507294877335
2015-09-30,99.37606745438997
2015-10-01,99.4030696829419
2015-10-02,101.41260312929256
2015-10-05,100.1988642676684
2015-10-06,99.45126888654949
2015-10-07,99.18665035636354
2015-10-08,98.67450962063641
2015-10-09,98.58023134943716
2015-10-12,100.07185672473702
2015-10-13,99.32629878126377
2015-10-14,100.39171938377427
2015-10-15,101.86437418029831
2015-10-16,102.0870860526743
2015-10-19,102.182410195119
2015-10-20,101.59667978654258
2015-10-21,99.94308234632486
2015-10-22,100.26122211140924
2015-10-23,103.5047250325801
2015-10-26,103.52770915752484
2015-10-27,104.00659425477892
2015-10-28,105.36052399242534
2015-10-29,103.8915511700834
2015-10-30,105.6371586258921
2015-11-02,106.00491677156282
2015-11-03,106.93356114561202
2015-11-04,106.99623992299476
2015-11-05,106.37134465906301
2015-11-06,106.87439601361329
2015-11-09,107.03212180912719
2015-11-10,106.63119857780943
2015-11-11,106.82981878535722
2015-11-12,107.865414333008
2015-11-13,107.64080808710432
2015-11-16,108.21213826214141
2015-11-17,108.24175248873645
2015-11-18,109.89826018809615
2015-11-19,109.10283985331505
2015-11-20,109.34708827030279
2015-11-23,108.9004190984467
2015-11-24,110.3162441024551
2015-11-25,109.97641655914045
2015-11-26,109.50532583235696
2015-11-27,109.81609120129998
2015-11-30,109.8068323322747
2015-12-01,111.1142932348747
2015-12-02,110.56392998621925
2015-12-03,109.87378702155993
2015-12-04,111.22466010164209
2015-12-07,110.75235867815849
2015-12-08,112.570109780464
2015-12-09,112.32774830014945
2015-12-10,113.38144189000326
2015-12-11,112.19012821555408
2015-12-14,112.51678958580885
2015-12-15,111.71633537110628
2015-12-16,112.38274747374938
2015-12-17,111.76888737949358
2015-12-18,112.70876694437683
2015-12-21,115.99022044076051
2015-12-22,115.7557982802174
2015-12-23,115.06800703397991
2015-12-24,114.99463883456377
2015-12-25,114.99463883456377
2015-12-28,115.32213311525308
2015-12-29,115.43376143509846
2015-12-30,115.34435968389721
2015-12-31,115.74648633380588
2016-01-01,115.74648633380588
2016-01-04,115.4766150516727
2016-01-05,116.36255604506901
2016-01-06,115.47923462950705
2016-01-07,113.12712267158572
2016-01-08,112.94934789652926
2016-01-11,111.45442973218027
2016-01-12,111.36999082210473
2016-01-13,108.44527234427518
2016-01-14,110.98449745699223
2016-01-15,109.66945509511291
