Date,Momentum
2015-10-29,108.87947149750987
2015-10-30,109.09508895582992
2015-11-02,109.64976386362201
2015-11-03,109.51476528253005
2015-11-04,110.41648477260796
2015-11-05,110.98306730318403
2015-11-06,110.57261993489269
2015-11-09,111.2333441134676
2015-11-10,110.89001273138675
2015-11-11,110.39283878725439
2015-11-12,111.51605084905842
2015-11-13,111.06213000409932
2015-11-16,111.86448400741313
2015-11-17,110.54433073284312
2015-11-18,111.99291583497103
2015-11-19,111.54383140865463
2015-11-20,112.21279946942002
2015-11-23,112.29778462377205
2015-11-24,112.76819838618223
2015-11-25,112.81428168110695
2015-11-26,111.86662789932173
2015-11-27,112.48335405973349
2015-11-30,111.599832782324
2015-12-01,112.27797808939513
2015-12-02,112.46515707077266
2015-12-03,112.64778305745553
2015-12-04,114.52088383192978
2015-12-07,114.41079743888568
2015-12-08,116.68228440864972
2015-12-09,115.17258905297727
2015-12-10,115.83287693662871
2015-12-11,115.58457192374813
2015-12-14,117.18258333965886
2015-12-15,115.46329853508905
2015-12-16,116.50565322298667
2015-12-17,114.70760011870208
2015-12-18,114.67759973464287
2015-12-21,117.69409939497669
2015-12-22,117.94851203579906
2015-12-23,116.51218592080227
2015-12-24,116.3927234896907
2015-12-25,116.3927234896907
2015-12-28,117.58928142884757
2015-12-29,117.74855586473396
2015-12-30,117.46119566509624
2015-12-31,117.09019618413804
2016-01-01,117.09019618413804
2016-01-04,117.15925511312757
2016-01-05,116.37917673132425
2016-01-06,116.40506915151727
2016-01-07,115.29518055990962
2016-01-08,115.63078981781217
2016-01-11,115.82956895386002
2016-01-12,116.10369734838929
2016-01-13,112.28887208257851
2016-01-14,115.36963742291158
2016-01-15,114.9448037714039
