Date,Value
2016-01-18,128.85059722225336
2016-01-19,127.71626520223336
2016-01-20,131.0547680291133
2016-01-21,129.50665507443654
2016-01-22,129.07369230108182
2016-01-25,128.66263774566744
2016-01-26,128.33411820672052
2016-01-27,127.58076424244419
2016-01-28,130.2898086967522
2016-01-29,131.64501391864047
2016-02-01,133.3711383557162
2016-02-02,134.84749054458976
2016-02-03,136.5730983355476
2016-02-04,132.93098237695403
2016-02-05,130.3574755162271
2016-02-08,134.29029786268177
2016-02-09,137.42815037655134
2016-02-10,137.22902087144402
2016-02-11,143.3901791461648
2016-02-12,140.31758414784503
2016-02-15,136.08060316672476
2016-02-16,138.31472869536944
2016-02-17,135.92456625182064
2016-02-18,137.25680867015421
2016-02-19,139.48081025349254
2016-02-22,137.5018673540147
2016-02-23,138.43747563689348
