Date,Value
2012-12-11,119.08327485448257
2012-12-12,117.11794917185873
2012-12-13,116.11661979162639
2012-12-14,115.77416172085324
2012-12-17,115.6290257120757
2012-12-18,115.99550012206353
2012-12-19,115.93269477931574
2012-12-20,117.48497415885963
2012-12-21,117.63169233141691
2012-12-24,120.13411677071906
2012-12-25,120.13411677071906
2012-12-26,119.62843947078234
2012-12-27,117.93224176762905
2012-12-28,118.0069968948031
2012-12-31,117.95253726970094
2013-01-01,117.95253726970094
2013-01-02,117.69430508336754
2013-01-03,117.1920706554127
2013-01-04,116.35326993454672
2013-01-07,116.27658614556593
2013-01-08,117.07425190579252
2013-01-09,115.00168031233255
2013-01-10,114.1707342137221
2013-01-11,114.7003110316042
2013-01-14,113.61435420530022
2013-01-15,113.69580449376055
2013-01-16,114.040267236323
2013-01-17,113.0732801082193
2013-01-18,113.36163999637047
2013-01-21,112.78049808066147
2013-01-22,113.15264160932796
2013-01-23,113.94835383622653
2013-01-24,114.29904990605233
2013-01-25,115.54069916957145
2013-01-28,114.7207557294527
2013-01-29,114.88964975770907
2013-01-30,115.68206926546486
2013-01-31,116.1217536782133
2013-02-01,115.46350582608491
2013-02-04,116.8309194346225
2013-02-05,118.20010061900649
2013-02-06,117.91306098221862
2013-02-07,118.27062633509038
2013-02-08,117.40556360986837
2013-02-11,116.6626937930976
