Date,Beta
2015-04-23,106.40757679286433
2015-04-24,107.36551314688202
2015-04-27,106.51797776623351
2015-04-28,106.6110614394586
2015-04-29,106.14141634339705
2015-04-30,104.81919214141769
2015-05-01,104.31471532387829
2015-05-04,103.98555667274181
2015-05-05,104.3404520051842
2015-05-06,104.5549068577167
2015-05-07,103.69294221709627
2015-05-08,104.49675642657317
2015-05-11,104.8614626938746
2015-05-12,105.28105909783807
2015-05-13,104.90591038777148
2015-05-14,104.88098341440266
2015-05-15,104.71565593596695
2015-05-18,104.92721984829706
2015-05-19,104.58008836117378
2015-05-20,104.32644300992915
2015-05-21,104.20980295682872
2015-05-22,104.03939787094205
2015-05-25,104.11874151345718
2015-05-26,103.82886262104783
2015-05-27,103.74562130126455
2015-05-28,104.21268242771653
2015-05-29,104.54928700807245
2015-06-01,104.27081438840142
2015-06-02,103.80622168845314
2015-06-03,104.51228939046523
2015-06-04,104.42671794984983
2015-06-05,104.65505308265351
2015-06-08,105.11574962006311
2015-06-09,104.61713253041698
2015-06-10,104.45553056565933
2015-06-11,104.62347958913607
2015-06-12,104.51076377342389
2015-06-15,104.7668791744064
2015-06-16,104.4188391341989
2015-06-17,104.50396976814004
2015-06-18,104.2357716698944
2015-06-19,104.10570732061723
2015-06-22,103.81456701614574
2015-06-23,104.30734395051334
2015-06-24,104.26589455480045
2015-06-25,103.99452239779743
2015-06-26,103.50633616184437
2015-06-29,104.24827271384885
2015-06-30,104.01163315035699
2015-07-01,103.80196934061853
2015-07-02,103.49973400827189
2015-07-03,103.20626666871979
2015-07-06,103.78765148058841
2015-07-07,103.81838264856626
2015-07-08,104.17364887250267
2015-07-09,104.77393719241108
2015-07-10,104.58463902521096
2015-07-13,104.49778329795052
2015-07-14,104.52801758590613
2015-07-15,105.09852803847262
2015-07-16,104.86076312878104
2015-07-17,105.12080828780056
2015-07-20,104.93653039314282
2015-07-21,105.18749950604465
2015-07-22,105.06354911433952
2015-07-23,104.50197418086763
2015-07-24,104.96554418953097
2015-07-27,105.31791705753473
2015-07-28,104.95939861235979
2015-07-29,104.7112748172677
2015-07-30,104.93116345961577
2015-07-31,105.27938465460879
2015-08-03,105.3320732760005
2015-08-04,105.6194822363705
2015-08-05,105.98708182762724
2015-08-06,106.4588680122052
2015-08-07,106.11232678523017
2015-08-10,105.03827999414942
2015-08-11,105.13754957840675
2015-08-12,105.39976434655208
2015-08-13,105.35388399876157
2015-08-14,105.13506879703411
2015-08-17,105.349037791699
2015-08-18,105.7432596731474
2015-08-19,105.71901684234663
2015-08-20,106.3948683347032
2015-08-21,106.48139856874539
2015-08-24,106.00893545710706
2015-08-25,106.16512151609787
2015-08-26,104.77347600247496
2015-08-27,105.6077709619402
2015-08-28,105.85855917095923
2015-08-31,106.1904271119498
2015-09-01,106.34215725625211
2015-09-02,106.28284627663726
2015-09-03,106.41956815702393
2015-09-04,106.30080388581054
2015-09-07,106.18404250256552
2015-09-08,105.47448534713364
2015-09-09,106.2647762659822
2015-09-10,106.31613265309386
2015-09-11,106.23658720081708
2015-09-14,106.03876224774208
2015-09-15,106.07199720915203
2015-09-16,106.76060790203239
2015-09-17,106.65918388756408
2015-09-18,108.04317665154105
2015-09-21,108.26541333381948
2015-09-22,108.02574427264686
2015-09-23,108.53677758075095
2015-09-24,108.20314656939192
2015-09-25,108.1018356381961
2015-09-28,107.96518830574558
2015-09-29,107.87228042803552
2015-09-30,107.86672719961071
2015-10-01,108.61732921231292
2015-10-02,109.01774912901779
2015-10-05,108.58136462081993
2015-10-06,108.55532425255647
2015-10-07,108.74975743532173
2015-10-08,108.46065523218282
2015-10-09,108.15878639182613
2015-10-12,107.48134542107417
2015-10-13,107.89942842235803
2015-10-14,107.56329250094758
2015-10-15,106.83299039280797
2015-10-16,106.6189859665558
2015-10-19,106.8068293101824
2015-10-20,106.35835486002802
2015-10-21,106.4958022411131
2015-10-22,104.43427999772622
2015-10-23,105.16203941331982
2015-10-26,105.30559410469029
2015-10-27,106.48201558623397
2015-10-28,106.56828360390534
2015-10-29,107.7770201440486
2015-10-30,107.19928263176898
2015-11-02,107.44457651277192
2015-11-03,107.12308222336414
2015-11-04,107.70086522311844
2015-11-05,108.13171527463163
2015-11-06,107.39866553076976
2015-11-09,107.92562308967314
2015-11-10,107.89896522101475
2015-11-11,108.21749632349048
2015-11-12,108.91159850424592
2015-11-13,108.98329847047448
2015-11-16,109.32128320313983
2015-11-17,109.4912586057116
2015-11-18,108.6020683044795
2015-11-19,108.84793804497548
2015-11-20,109.22211481462308
2015-11-23,109.41923956833799
2015-11-24,109.54043239485225
2015-11-25,109.37926375072696
2015-11-26,109.5263668744104
2015-11-27,109.39978157107643
2015-11-30,108.7916985059455
2015-12-01,108.08477612745823
2015-12-02,108.60592304758877
2015-12-03,108.3652810720498
2015-12-04,108.02321565181707
2015-12-07,108.7481774237695
2015-12-08,109.05477450464151
2015-12-09,109.10965368150396
2015-12-10,109.06161102766659
2015-12-11,109.75155526456821
2015-12-14,109.60238259763419
2015-12-15,109.8186280818153
2015-12-16,109.30041528228544
2015-12-17,109.57146758623986
2015-12-18,109.54364502084006
2015-12-21,108.92254097452258
2015-12-22,108.73745656606931
2015-12-23,109.28273639065578
2015-12-24,109.24702703679584
2015-12-25,109.24702703679584
2015-12-28,109.87676047915267
2015-12-29,110.15322864597131
2015-12-30,110.05479626797253
2015-12-31,109.71299379744494
2016-01-01,109.71299379744494
2016-01-04,109.93660899952619
2016-01-05,109.9274883282259
2016-01-06,109.84497423071271
2016-01-07,109.77018218686969
2016-01-08,110.26376697988229
2016-01-11,109.0983156493959
2016-01-12,108.74395571913517
2016-01-13,109.17166702457851
2016-01-14,109.44445251193359
2016-01-15,109.4031565977497
2016-01-18,109.40905249097644
2016-01-19,109.73655820814301
2016-01-20,110.32352481817361
2016-01-21,109.75418528432239
2016-01-22,109.98874993048334
2016-01-25,110.02862657227233
2016-01-26,110.13116533956077
2016-01-27,110.03313795005643
2016-01-28,110.4899747351244
2016-01-29,110.00208598906276
2016-02-01,109.87867814547812
2016-02-02,109.7711422114114
2016-02-03,109.38590576311978
2016-02-04,109.313012897122
2016-02-05,109.84259375511718
2016-02-08,110.1573944339154
2016-02-09,111.18189824607241
2016-02-10,111.64709751694
2016-02-11,113.1601616977243
2016-02-12,112.36066708451395
2016-02-15,112.80852241909764
2016-02-16,112.28686285100291
2016-02-17,112.94358123693476
2016-02-18,112.53681874067298
2016-02-19,112.82885692542105
2016-02-22,112.29395496523121
2016-02-23,112.70403122074599
2016-02-24,112.19597375467247
2016-02-25,112.3329351500735
2016-02-26,112.42578248358811
2016-02-29,112.87944886808481
2016-03-01,112.2564341904597
2016-03-02,111.57447230656618
2016-03-03,111.33688001035551
2016-03-04,111.52748526600045
2016-03-07,111.07287585642369
2016-03-08,111.62312350906384
2016-03-09,111.89575107286807
2016-03-10,111.5697029945595
2016-03-11,110.74303951138882
2016-03-14,110.56634764254576
2016-03-15,110.036416904051
2016-03-16,109.99724283726773
2016-03-17,109.2943942302427
2016-03-18,109.06050960636371
2016-03-21,108.86966062773291
2016-03-22,108.93565095549117
2016-03-23,109.66891765745873
2016-03-24,109.57845514079474
2016-03-25,109.57845514079474
2016-03-28,109.62381436913779
2016-03-29,109.56291526015795
2016-03-30,109.38624296572347
2016-03-31,108.8688207123724
2016-04-01,108.74742333503582
2016-04-04,109.25101399444881
2016-04-05,109.9270043595018
2016-04-06,110.74211871024445
2016-04-07,111.50129935848342
2016-04-08,111.08804722587969
2016-04-11,110.8977762359218
2016-04-12,110.55953994645019
2016-04-13,109.67557476325604
2016-04-14,109.11183933944045
2016-04-15,108.99598405067499
2016-04-18,109.38735940094143
2016-04-19,109.77037276687906
2016-04-20,109.56016575662576
2016-04-21,109.68271676725831
2016-04-22,109.71485904751326
2016-04-25,110.08661813810255
2016-04-26,109.28548865707357
2016-04-27,108.62854817637046
2016-04-28,108.6719437746043
2016-04-29,109.15560506647009
2016-05-02,109.18673693255315
2016-05-03,109.42117864222678
2016-05-04,109.59938494445046
2016-05-05,109.51915390503011
2016-05-06,109.94861186252932
2016-05-09,110.46541385161417
2016-05-10,110.13395150477656
2016-05-11,110.45521862842887
2016-05-12,110.36961805824015
2016-05-13,110.97810641585492
2016-05-16,110.56577830106657
2016-05-17,110.90566035763717
2016-05-18,110.42820327962622
2016-05-19,110.52997925492613
2016-05-20,110.98769127722007
2016-05-23,111.03812177736576
2016-05-24,110.46941956092708
2016-05-25,110.73584143354688
2016-05-26,110.62193606490368
2016-05-27,111.01317129126839
2016-05-30,111.20784801519042
2016-05-31,111.23969911351698
2016-06-01,111.78270138911479
2016-06-02,111.74919365758781
2016-06-03,112.099475373577
2016-06-06,112.11162261390545
2016-06-07,112.09644766205638
2016-06-08,112.43254739424619
2016-06-09,112.52124419929251
2016-06-10,112.86913734186372
2016-06-13,113.01339011495973
2016-06-14,113.3144873917329
2016-06-15,113.52702742637096
2016-06-16,113.10338794228444
2016-06-17,112.77466039171665
2016-06-20,112.63182553524152
2016-06-21,112.39444334247821
2016-06-22,112.4758980525978
2016-06-23,111.97353531213341
2016-06-24,114.2672988152401
2016-06-27,116.54081862048474
2016-06-28,116.84247219973221
2016-06-29,117.09313742511759
2016-06-30,117.0654960251542
2016-07-01,116.9368179582894
2016-07-04,116.94361850022297
2016-07-05,117.56322612970804
2016-07-06,117.56988142024083
2016-07-07,117.45539133499756
2016-07-08,116.57690622779893
2016-07-11,116.43242633557018
2016-07-12,114.63754493372701
2016-07-13,114.886849118376
2016-07-14,113.91031567458859
2016-07-15,113.89736205572137
2016-07-18,112.99157607332754
2016-07-19,113.69267663037006
2016-07-20,113.37650352119923
2016-07-21,113.38942275624642
2016-07-22,113.36524908639065
2016-07-25,113.16450367105386
2016-07-26,113.31066527088979
2016-07-27,113.35789977018985
2016-07-28,114.41198783833903
2016-07-29,114.28262886675277
2016-08-01,114.83297078399607
2016-08-02,115.34209259190473
2016-08-03,115.25212841309907
2016-08-04,115.45847078558312
2016-08-05,114.88821791703178
2016-08-08,114.13490732125808
2016-08-09,113.76782044493211
2016-08-10,114.37953479828403
2016-08-11,114.30276497107049
2016-08-12,114.73544519767471
2016-08-15,115.0427620714034
2016-08-16,115.46620224476989
2016-08-17,115.5970308591594
2016-08-18,115.28592907796568
2016-08-19,115.54762631809184
2016-08-22,115.70853282084204
2016-08-23,115.01614028640968
2016-08-24,114.46405161039466
2016-08-25,114.64622779203941
2016-08-26,114.82980259467331
2016-08-29,115.02242048745839
2016-08-30,114.65071919364587
